timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741616257045,260,Get User Profile,200,OK,Stress Test 1-260,text,true,,874,525,4,4,https://thinking-tester-contact-list.herokuapp.com/users/me,260,0,0
1741616257119,261,Delete Contact,200,OK,Stress Test 1-258,text,true,,756,603,4,4,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48432eaf700137a5095,261,0,0
1741616257141,268,Delete Contact,200,OK,Stress Test 1-257,text,true,,756,603,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48432eaf700137a5094,268,0,0
1741616257145,273,Delete Contact,200,OK,Stress Test 1-259,text,true,,756,603,2,2,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48453c0aa001392fd09,273,0,0
1741616257305,281,Update User,200,OK,Stress Test 1-260,text,true,,881,632,2,2,https://thinking-tester-contact-list.herokuapp.com/users/me,281,0,0
1741616257419,292,Add User,201,Created,Stress Test 1-259,text,true,,1278,501,2,2,https://thinking-tester-contact-list.herokuapp.com/users,292,0,0
1741616257587,269,Add Contact,201,Created,Stress Test 1-260,text,true,,1005,807,2,2,https://thinking-tester-contact-list.herokuapp.com/contacts,269,0,0
1741616257711,271,Get User Profile,200,OK,Stress Test 1-259,text,true,,874,525,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,271,0,0
1741616257857,261,Get Contacts,200,OK,Stress Test 1-260,text,true,,1002,525,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,261,0,0
1741616257982,267,Update User,200,OK,Stress Test 1-259,text,true,,882,633,3,3,https://thinking-tester-contact-list.herokuapp.com/users/me,267,0,0
1741616258119,262,Update Contact,200,OK,Stress Test 1-260,text,true,,1034,834,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48632eaf700137a5098,262,0,0
1741616258278,276,Add Contact,201,Created,Stress Test 1-259,text,true,,1015,817,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts,276,0,0
1741616258381,295,Patch Contact,200,OK,Stress Test 1-260,text,true,,1003,602,3,3,https://thinking-tester-contact-list.herokuapp.com/contacts/67cef48632eaf700137a5098,295,0,0
